Name: Trudel Stonehead,,,,
Description: BMO RRSP, bonds and equities,,,
Account#: 478902,,,,
Email: trudel@gmail.com,,,,
Address: 4700 Keele Street, Toronto, M3J 1P3,,
Phone: 416-736-2100 x70000,,,,
,,,,
,,,,
Transaction Date,Market Value,Cash Flow,Agent Fees,Benchmark
01/01/1900,4684,40265,,125%
24/04/1900,709638,-29686,,
01/01/1901,422732,76314,,34%
06/07/1901,376124,33763,,
01/01/1902,123088,-119488,,138%
01/01/1903,255389,-178607,,179%
10/08/1903,397814,-188010,,
16/10/1903,324569,-34821,,
01/01/1904,298045,-124966,,-43%
10/09/1904,259288,-158784,,
01/01/1905,993390,-524174,,25%
19/01/1905,931832,-624642,,
14/02/1905,247119,-141869,,
06/06/1905,371304,7973,,
01/01/1906,313441,-286716,,-13%
01/01/1907,714895,-32340,,-45%
29/09/1907,395127,-363872,,
01/01/1908,479766,-224213,,25%
01/01/1909,881250,59890,,142%
01/01/1910,972859,-427461,,17%
25/10/1910,919502,-644181,,
01/01/1911,896680,-252176,,168%
10/02/1911,614462,98313,,
12/06/1911,500591,-95167,,
21/10/1911,567456,-109908,,
01/01/1912,153343,-116254,,174%
01/01/1913,151171,-91001,,-59%
01/01/1914,317148,-47655,,-41%
01/01/1915,52508,56548,,90%
06/06/1915,341709,84055,,
15/10/1915,966233,77000,,
01/01/1916,3474,33276,,65%
05/01/1916,593045,-538594,,
01/01/1917,238345,-88822,,6%
01/01/1918,481926,19010,,-59%
08/04/1918,608215,-568077,,
13/09/1918,46692,57639,,
01/01/1919,566066,-138405,,163%
01/01/1920,323853,-278769,,121%
22/04/1920,952594,-50948,,
01/01/1921,292876,-248217,,38%
16/05/1921,126206,50561,,
01/01/1922,415301,-326258,,57%
01/08/1922,146512,-8412,,
01/01/1923,104616,34865,,-8%
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
